ID1,ID2,EdgeType,Score,Annotation
4733,4757,MS1 annotation,2.000,[M+K]+ [M+H]+ dm/z=37.9559
4796,4823,MS1 annotation,3.000,[M+Na]+ [M-H2O+H]+ dm/z=39.9932
4796,4823,MS1 annotation,3.000,[M+Na]+ [2M-2H2O+2H]+2 dm/z=39.9932
4813,4902,MS1 annotation,3.000,[M+Na]+ [M+K]+ dm/z=15.9738
4895,4931,MS1 annotation,6.000,[M-H2O+H]+ [M+K]+ dm/z=55.9672
4895,4911,MS1 annotation,6.000,[M+Na]+ [M+K]+ dm/z=15.9740
4936,4945,MS1 annotation,2.000,[M+NH4]+ [M+K]+ dm/z=20.9290
4955,5021,MS1 annotation,5.000,[M+K]+ [M+NH4]+ dm/z=20.9293
4984,5082,MS1 annotation,2.000,[M+Na]+ [M+K]+ dm/z=15.9744
5069,5205,MS1 annotation,2.000,[M+K]+ [M+H]+ dm/z=37.9554
5070,5080,MS1 annotation,2.000,[M+K]+ [M+NH4]+ dm/z=20.9289
5115,5116,MS1 annotation,2.000,[M+Na]+ [M-2H2O+H]+ dm/z=58.0055
5209,5218,MS1 annotation,5.000,[2M+2H]+2 [M+K]+ dm/z=37.9568
5209,5220,MS1 annotation,5.000,[M+Na]+ [M+K]+ dm/z=15.9747
5209,5236,MS1 annotation,5.000,[M-3H2O+H]+ [M+K]+ dm/z=91.9883
5220,5236,MS1 annotation,5.000,[M-3H2O+H]+ [M+Na]+ dm/z=76.0136
5271,5274,MS1 annotation,2.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0266
5310,5368,MS1 annotation,2.000,[M+Na]+ [M+K]+ dm/z=15.9744
5315,5317,MS1 annotation,2.000,[M+K]+ [M+NH4]+ dm/z=20.9292
5355,5383,MS1 annotation,3.000,[M+Na]+ [M+K]+ dm/z=15.9741
5381,5396,MS1 annotation,2.000,[M+H]+ [2M-H2O+NH4]+ dm/z=197.0901
5382,5383,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9820
5438,5457,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9820
