ID1,ID2,EdgeType,Score,Annotation
4084,4099,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9819
4085,4099,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9553
4130,4133,MS1 annotation,3.000,[M+K]+ [M+H]+ dm/z=37.9558
4130,4132,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9819
4156,4163,MS1 annotation,4.000,[M+NH4]+ [M+H]+ dm/z=17.0267
4156,4158,MS1 annotation,4.000,[M+Na]+ [M+H]+ dm/z=21.9820
4156,4163,MS1 annotation,4.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0267
4156,4158,MS1 annotation,4.000,[M+Na]+ [2M+2H]+2 dm/z=21.9820
4158,4163,MS1 annotation,4.000,[M+NH4]+ [M+Na]+ dm/z=4.9553
4188,4196,MS1 annotation,4.000,[M+NH4]+ [M+Na]+ dm/z=4.9559
4188,4189,MS1 annotation,4.000,[M+K]+ [M+Na]+ dm/z=15.9735
4205,4229,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9819
4207,4227,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9554
4216,4217,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9819
4243,4260,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
4299,4302,MS1 annotation,5.000,[M+Na]+ [M+NH4]+ dm/z=4.9552
4301,4303,MS1 annotation,3.000,[2M+2H]+2 [M+Na]+ dm/z=21.9818
4301,4306,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9553
4302,4361,MS1 annotation,5.000,[M+K]+ [M+Na]+ dm/z=15.9738
4302,4360,MS1 annotation,5.000,[M+H]+ [M+Na]+ dm/z=21.9822
4303,4306,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0265
4303,4306,MS1 annotation,3.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0265
4374,4376,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9556
4395,4396,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9823
4435,4459,MS1 annotation,2.000,[2M+2H]+2 [M+Na]+ dm/z=21.9827
4454,4457,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0263
4454,4457,MS1 annotation,2.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0263
4529,4546,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9826
4585,4589,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9815
4585,4589,MS1 annotation,2.000,[M+Na]+ [2M+2H]+2 dm/z=21.9815
4594,4597,MS1 annotation,4.000,[M+Na]+ [M+H]+ dm/z=21.9818
4597,4614,MS1 annotation,4.000,[M+K]+ [M+Na]+ dm/z=15.9737
4597,4599,MS1 annotation,4.000,[2M+H]+ [M+Na]+ dm/z=259.2162
4607,4608,MS1 annotation,3.000,[M+K]+ [M+Na]+ dm/z=15.9739
4607,4636,MS1 annotation,3.000,[2M-2H2O+2H]+2 [M+Na]+ dm/z=39.9926
4615,4616,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9555
4641,4727,MS1 annotation,2.000,[M+ACN+2H]+2 [M+Na]+ dm/z=207.1108
4652,4666,MS1 annotation,5.000,[M+K]+ [M+H]+ dm/z=37.9559
