ID1,ID2,EdgeType,Score,Annotation
3959,3988,MS1 annotation,4.000,[M+Na]+ [2M+2H]+2 dm/z=21.9818
3966,3988,MS1 annotation,4.000,[M+Na]+ [M+NH4]+ dm/z=4.9548
3989,3994,MS1 annotation,3.000,[2M+2H]+2 [M+K]+ dm/z=37.9560
3989,3993,MS1 annotation,3.000,[M+NH4]+ [M+K]+ dm/z=20.9294
3993,3994,MS1 annotation,3.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0266
4054,4060,MS1 annotation,5.000,[M+H]+ [2M+Na]+ dm/z=334.0290
4060,4073,MS1 annotation,5.000,[M+Na]+ [M+H]+ dm/z=21.9820
4060,4064,MS1 annotation,5.000,[M+NH4]+ [M+H]+ dm/z=17.0269
4060,4065,MS1 annotation,5.000,[M+K]+ [M+H]+ dm/z=37.9560
4060,4073,MS1 annotation,5.000,[M+Na]+ [2M+2H]+2 dm/z=21.9820
4060,4064,MS1 annotation,5.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0269
4060,4065,MS1 annotation,5.000,[M+K]+ [2M+2H]+2 dm/z=37.9560
4064,4073,MS1 annotation,5.000,[M+Na]+ [M+NH4]+ dm/z=4.9551
4064,4065,MS1 annotation,5.000,[M+K]+ [M+NH4]+ dm/z=20.9291
4065,4073,MS1 annotation,5.000,[M+Na]+ [M+K]+ dm/z=15.9740
4118,4153,MS1 annotation,3.000,[2M+2H]+2 [M+K]+ dm/z=37.9556
4118,4141,MS1 annotation,3.000,[M+Na]+ [M+K]+ dm/z=15.9740
4125,4176,MS1 annotation,4.000,[2M-2H2O+2H]+2 [M+K]+ dm/z=55.9654
4125,4165,MS1 annotation,4.000,[M+NH4]+ [M+K]+ dm/z=20.9292
4125,4164,MS1 annotation,4.000,[M+H]+ [M+K]+ dm/z=37.9559
4141,4153,MS1 annotation,3.000,[2M+2H]+2 [M+Na]+ dm/z=21.9816
4164,4165,MS1 annotation,4.000,[M+NH4]+ [M+H]+ dm/z=17.0267
4165,4176,MS1 annotation,4.000,[2M-2H2O+2H]+2 [M+NH4]+ dm/z=35.0362
4368,4369,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0266
4368,4369,MS1 annotation,2.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0266
4387,4407,MS1 annotation,5.000,[M+H]+ [2M+Na]+ dm/z=364.0769
4387,4408,MS1 annotation,5.000,[M+NH4]+ [2M+Na]+ dm/z=347.0504
4403,4407,MS1 annotation,5.000,[M+H]+ [M+Na]+ dm/z=21.9819
4403,4408,MS1 annotation,5.000,[M+NH4]+ [M+Na]+ dm/z=4.9554
4407,4414,MS1 annotation,5.000,[2M+NH4]+ [M+H]+ dm/z=359.1214
4407,4408,MS1 annotation,5.000,[M+NH4]+ [M+H]+ dm/z=17.0265
4421,4443,MS1 annotation,2.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0265
4512,4520,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0266
4512,4520,MS1 annotation,2.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0266
4519,4521,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0267
4519,4521,MS1 annotation,2.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0267
4601,4602,MS1 annotation,2.000,[M+K]+ [M+H]+ dm/z=37.9556
4630,4646,MS1 annotation,2.000,[M+K]+ [M+NH4]+ dm/z=20.9296
4647,4685,MS1 annotation,2.000,[M+Na]+ [M+K]+ dm/z=15.9737
4661,4677,MS1 annotation,2.000,[M+K]+ [M+Na]+ dm/z=15.9742
4727,4743,MS1 annotation,2.000,[M+K]+ [M+Na]+ dm/z=15.9740
4804,4807,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0267
4804,4807,MS1 annotation,3.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0267
4832,4835,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9551
4832,4837,MS1 annotation,3.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0267
4835,4837,MS1 annotation,3.000,[2M+2H]+2 [M+Na]+ dm/z=21.9818
