CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
185	3711	3	0.8832	45.006
650	7180	3	0.9124	-400.188
151	228	3	0.8701	17.027
4765	7180	3	0.9136	-414.144
151	650	3	0.9524	-14.016
1625	1758	4	0.9686	-14.016
1758	4832	4	0.9398	-18.010
4826	4940	4	0.9092	279.272
4811	4814	4	0.9528	-15.995
2401	4814	4	1.0	-0.034
1627	4818	4	0.8469	0.036
3700	4851	4	0.9672	1.978
4817	4848	4	0.9453	-15.996
4826	4851	4	0.9092	279.251
4855	4940	4	1.0	0.086
4811	4812	4	0.9632	-14.016
4826	4832	4	0.8507	261.208
4818	4825	4	0.8592	-14.016
4812	4818	4	1.0	0.037
2997	4822	4	0.8845	-162.046
1758	4826	4	0.9092	-279.218
4819	4854	4	0.9148	265.174
2401	4818	4	0.9587	1.982
4851	4855	4	1.0	-0.065
1758	4813	4	0.9672	-1.979
1627	2997	4	0.8698	-0.007
4811	4919	4	0.8966	18.011
4826	4855	4	0.9092	279.186
4816	4822	4	0.9557	-14.015
4816	4919	4	0.8831	180.064
4812	4815	4	0.8465	-18.010
4832	4940	4	0.9095	18.064
2997	4815	4	0.8535	-18.004
2997	4814	4	0.9043	-1.973
4811	4816	4	0.9172	-162.053
4812	4825	4	0.8492	-13.979
2997	4811	4	0.9019	14.022
1627	4811	4	0.8545	14.016
4818	4822	4	0.8819	-162.089
1758	4940	4	1.0	0.054
4832	4855	4	0.9095	17.978
4832	4851	4	0.9095	18.043
4812	4814	4	0.9577	-1.979
4812	4832	4	0.8654	-2.015
4814	4848	4	0.858	-18.011
1620	2401	4	0.858	14.013
4815	4817	4	0.9481	14.017
2997	4812	4	0.9313	0.007
1758	4855	4	1.0	-0.032
4811	4917	4	0.8825	16.031
4851	4940	4	1.0	0.021
1625	4813	4	0.9782	-15.995
1625	4854	4	1.0	-0.030
4812	4822	4	0.9126	-162.053
4815	4848	4	0.9394	-1.979
1627	4812	4	0.8469	-0.000
1620	4825	4	0.9784	1.979
1758	4851	4	1.0	0.033
4854	4855	4	0.9686	-14.018
2997	4818	4	0.9313	0.043
3700	4813	4	1.0	-0.034
1625	4819	4	0.9148	-265.205
1965	3230	5	0.8393	25.979
1127	1965	5	0.8824	50.071
4309	5290	5	0.9469	-17.066
2060	2067	5	0.9359	132.041
2067	4309	5	0.9359	179.082
2067	2236	5	0.9813	162.054
2306	7258	5	0.9182	-17.028
2293	3121	5	0.9023	50.063
1127	2293	5	0.9615	0.010
3121	3926	5	0.9039	-18.012
1127	4222	5	0.8762	50.072
3121	4222	5	0.9445	-0.001
2060	2236	5	0.9215	294.095
1440	5290	5	0.9077	132.004
2306	5290	5	0.9254	114.977
564	2273	5	0.8322	-132.042
3926	4222	5	0.8341	18.012
1440	2060	5	0.9467	-162.052
1951	3121	5	0.8991	50.038
2060	2306	5	0.9347	179.079
3221	3913	5	0.8324	161.980
4309	5590	5	0.9229	-12.001
2236	3176	5	0.8578	26.016
5290	5590	5	0.9172	5.066
1951	2293	5	1.0	-0.025
1951	2511	5	0.8378	49.964
2236	2300	5	0.8996	-157.027
1965	3121	5	0.9826	0.002
3105	3121	5	0.9175	36.023
2060	7258	5	0.9546	162.052
1911	7268	5	0.9159	-162.052
1950	2012	5	0.9366	14.014
1208	3176	5	0.8425	-2.017
4702	7013	5	0.8321	30.010
1260	3913	5	1.0	-0.074
2273	4196	5	0.8407	132.079
2067	5290	5	0.9745	162.015
2293	3105	5	0.9398	14.040
1525	2293	5	0.8266	-14.004
