formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id	featureId
1	C17H19NO10	[M + Na]+	C17H19NO10	0.9974874371859296	26.983027206225675	23.501264471359	3.481762734866675	8	0.7743942536294198	3.145603443754264	3.145603443754264	0.9842923844424389		420.09053	152.28	292_clematis_10_species_crop2-10min_231127_orbi_siri_295	295
1	C19H26N2O10	[M + H]+	C19H26N2O10	0.9859296482412062	62.45578425024081	59.36735028293838	3.0884339673024312	11	0.6586565576921457	7.241223758034096	7.241223758034096	0.6284681607910555		443.16630	152.28	293_clematis_10_species_crop2-10min_231127_orbi_siri_296	296
1	C18H24O11	[M + K]+	C18H24O11	0.9618090452261306	10.174894681106643	3.4725676501389344	6.702327030967709	2	0.07533004702816024	-0.12385635041811838	0.45335990284546157	-1.2957488636863674		455.09443	152.31	294_clematis_10_species_crop2-10min_231127_orbi_siri_297	297
1	C22H28F3N3O3	[M + Na]+	C22H28F3N3O3	0.851256281407035	19.13062361358528	19.13062361358528	0.0	7	0.5725227224167118	-4.966886854293033	4.966886854293033	0.26586876292253603		462.19762	152.31	295_clematis_10_species_crop2-10min_231127_orbi_siri_298	298
1	C32H47NO16	[M + H]+	C32H47NO16	0.5321608040201005	27.573463248569542	27.573463248569542	0.0	17	0.9684620394363073	4.852655537293328	4.852655537293328	1.0951539435847188		702.29753	152.52	296_clematis_10_species_crop2-10min_231127_orbi_siri_299	299
1	C16H27N3O7S	[M + H]+	C16H27N3O7S	0.9969849246231155	115.60286386077766	114.4197097527551	1.1831541080225594	27	0.8753466151787028	7.012501584586902	7.012501584586902	1.0890752454857668		406.16469	152.47	298_clematis_10_species_crop2-10min_231127_orbi_siri_301	301
1	C20H18O9	[M + Na]+	C20H18O9	0.16733668341708544	4.570558269031126	3.366587288065273	1.2039709809658534	1	0.0	1.5717890658597597	1.5717890658597597	1.5694365987149295		425.08497	152.47	299_clematis_10_species_crop2-10min_231127_orbi_siri_302	302
1	C9H20N6O7S	[M + H]+	C9H20N6O7S	0.8874371859296484	31.315673306347154	28.71959962396277	2.596073682384382	6	0.5784066330209084	2.3529837746374693	2.3529837746374693	-0.12441828640487067		357.11865	152.52	300_clematis_10_species_crop2-10min_231127_orbi_siri_303	303
1	C34H42O16	[M + H]+	C34H42O16	0.07688442211055277	4.42388234333279	4.42388234333279	0.0	2	0.3226553955100755	-0.005116016307328941	2.2129249196607907	-2.222282708981407		707.25299	152.52	301_clematis_10_species_crop2-10min_231127_orbi_siri_304	304
1	C18H29NO10	[M + H]+	C18H29NO10	0.9994974874371859	310.6097979469877	304.32517968398764	6.284618263000059	53	0.9793848185774872	5.628036911670934	5.628036911670934	1.493191923435769		420.18705	152.98	302_clematis_10_species_crop2-10min_231127_orbi_siri_305	305
1	C15H26N2O6S	[M + H]+	C15H26N2O6S	0.9999999999999999	51.113904558350484	47.68885875909705	3.425045799253429	28	0.9204044067888365	5.876585421460542	5.876585421460542	0.4570892978151408		363.15860	152.63	303_clematis_10_species_crop2-10min_231127_orbi_siri_306	306
1	C15H26N2O6S	[M + Na]+	C15H26N2O6S	0.9633165829145729	36.83480299833515	31.144095445488347	5.6907075528468045	11	0.7456415401981689	2.606762565714996	2.606762565714996	0.4978647394261135		385.14057	152.63	304_clematis_10_species_crop2-10min_231127_orbi_siri_307	307
1	C17H22O10	[M + H]+	C17H22O10	0.9999999999999999	56.41673983071665	53.24180158036755	3.174938250349097	15	1.0000000000000002	5.979779626791476	5.979779626791476	1.5412011175294786		387.12917	152.47	307_clematis_10_species_crop2-10min_231127_orbi_siri_310	310
1	C18H29NO10	[M - H3N + Na]+	C18H26O10	0.955778894472362	7.073500035894	3.408412933978615	3.665087101915385	2	0.0	1.0990859435942661	1.0990859435942661	-40047.973652704146		425.14228	152.98	308_clematis_10_species_crop2-10min_231127_orbi_siri_311	311
1	C20H33NO10	[M + H]+	C20H33NO10	0.24874371859296482	4.693535257937218	0.9154376920811735	3.7780975658560445	1	0.0	1.0180129472516115	1.0180129472516115	1.020244001287533		448.21818	152.98	309_clematis_10_species_crop2-10min_231127_orbi_siri_312	312
1	C19H31NO6S	[M + K]+	C19H31NO6S	0.4261306532663316	34.99069706549426	34.99069706549426	0.0	16	0.7581000446547648	-2.1786248731671054	2.3301279403196005	-2.764544906078171		440.14915	152.99	310_clematis_10_species_crop2-10min_231127_orbi_siri_313	313
1	C10H10O4	[M + H]+	C10H10O4	0.9999999999999999	91.15906743534684	91.15906743534684	0.0	27	0.9762237111483343	2.0477896302491567	2.0477896302491567	0.3319294925580803		195.06525	160.53	311_clematis_10_species_crop2-10min_231127_orbi_siri_314	314
1	C14H18O9	[M + H]+	C14H18O9	0.941708542713568	41.679804090935704	38.160915251755284	3.5188888391804207	7	0.9487871523645082	6.146799863394525	6.146799863394525	-0.05620041978435833		331.10234	153.66	312_clematis_10_species_crop2-10min_231127_orbi_siri_315	315
1	C16H16O9	[M + H]+	C16H16O9	0.7683417085427137	3.3466648573846163	3.3466648573846163	0.0	1	0.0	1.7912166085096515	1.7912166085096515	1.9583137474610546		353.08740	153.81	314_clematis_10_species_crop2-10min_231127_orbi_siri_317	317
1	C17H15N5O5	[M + H]+	C17H15N5O5	0.9994974874371859	69.20035805915745	69.20035805915745	0.0	23	0.9684024815820085	6.450187807924598	6.450187807924598	-1.8238495069260348		370.11392	153.81	317_clematis_10_species_crop2-10min_231127_orbi_siri_320	320
1	C19H37NO9	[M + H]+	C19H37NO9	0.9999999999999999	72.4696673547263	71.43476869504215	1.0348986596841487	19	0.8770823021859092	5.639809521442924	5.639809521442924	-0.4672109929469012		424.25391	156.89	318_clematis_10_species_crop2-10min_231127_orbi_siri_321	321
1	C11H12O5	[M + H]+	C11H12O5	0.9999999999999999	66.50349994122178	66.50349994122178	0.0	18	0.96446215087783	1.7035568200636526	1.8573712520739563	0.8444434775463606		225.07594	153.16	321_clematis_10_species_crop2-10min_231127_orbi_siri_324	324
1	C4H11B2N2O2P	[M + Na]+	C4H11B2N2O2P	0.9999999999999999	72.80483704301788	72.80483704301788	0.0	19	0.6969137513738398	-0.007042500980957517	2.8385707379038125	1.0932650592956148		193.07112	153.81	322_clematis_10_species_crop2-10min_231127_orbi_siri_325	325
1	C16H27NO4	[M + H]+	C16H27NO4	0.9999999999999999	56.653369985455925	52.84932345417332	3.804046531282601	23	0.989456269890641	9.055611692356067	9.055611692356067	0.6210697399941362		298.20147	154.27	323_clematis_10_species_crop2-10min_231127_orbi_siri_326	326
1	C18H35NO11	[M + H]+	C18H35NO11	0.9999999999999999	106.28242408755685	100.72787717425945	5.554546913297404	33	0.9578349122362898	6.320869842085648	6.320869842085648	0.3903138875447821		442.22846	154.27	324_clematis_10_species_crop2-10min_231127_orbi_siri_327	327
1	C32H54N2O8	[M + H]+	C32H54N2O8	0.5974874371859298	32.629841279212165	32.629841279212165	0.0	19	0.9914730882015107	7.874865960040355	7.874865960040355	0.34743277273682277		595.39550	154.27	325_clematis_10_species_crop2-10min_231127_orbi_siri_328	328
1	C13H22N3O5	[M + H]+	C13H22N3O5	0.8462311557788946	66.12725239756658	63.30730727890875	2.8199451186578237	19	0.805792458547989	4.239389265612513	4.239389265612513	0.9222362917960979		301.16350	154.3	326_clematis_10_species_crop2-10min_231127_orbi_siri_329	329
1	C16H21NO9	[M + H]+	C16H21NO9	0.9497487437185929	44.47935865429703	38.59551772385237	5.883840930444661	7	0.9633632706279973	5.673847033068029	5.673847033068029	1.9409793020175825		372.12963	153.81	327_clematis_10_species_crop2-10min_231127_orbi_siri_330	330
1	C16H16O9	[M + K]+	C16H16O9	0.8256281407035178	3.3362371443262093	3.3362371443262093	0.0	1	0.0	1.9046684672026941	1.9046684672026941	2.070890109616223		391.04340	153.95	328_clematis_10_species_crop2-10min_231127_orbi_siri_331	331
1	C14H27N3O5	[M + H]+	C14H27N3O5	0.9999999999999999	81.04560094154091	77.51738781141303	3.5282131301278845	15	0.9480427452066397	4.133301953975642	4.133301953975642	1.0451951865482851		318.20268	154.51	329_clematis_10_species_crop2-10min_231127_orbi_siri_332	332
1	C33H36N5O10PS2	[M + Na]+	C33H36N5O10PS2	0.0	38.87644208432087	38.87644208432087	0.0	23	0.7163861204383378	3.9574937813126416	3.9574937813126416	1.6513622555623992		780.15463	154.51	330_clematis_10_species_crop2-10min_231127_orbi_siri_333	333
1	C18H27NO9	[M + H]+	C18H27NO9	0.8713567839195979	23.91704565174067	23.91704565174067	0.0	4	0.6506990471371955	4.458671494317309	4.458671494317309	0.3036081604417478		402.17598	161.32	332_clematis_10_species_crop2-10min_231127_orbi_siri_335	335
1	C16H30O8	[M + Na]+	C16H30O8	0.9748743718592967	9.722364311970955	3.4668872507478934	6.255477061223061	1	0.0	0.4083244131313117	0.4083244131313117	0.6468128685618005		373.18353	154.95	333_clematis_10_species_crop2-10min_231127_orbi_siri_336	336
1	C16H16O9	[M + Na]+	C16H16O9	0.9482412060301508	25.87327947940328	22.157190970900995	3.7160885085022834	5	0.7642501383508578	2.405343622122931	2.405343622122931	0.7657469836878598		375.06894	154.96	334_clematis_10_species_crop2-10min_231127_orbi_siri_337	337
1	C17H22O10	[M + H3N + H]+	C17H25NO10	0.9999999999999999	66.52632161501671	62.96941890357481	3.5569027114419	13	0.9812442194770465	4.703436166064979	4.703436166064979	1.824909601763718		404.15586	152.47	335_clematis_10_species_crop2-10min_231127_orbi_siri_338	338
1	C19H19N5O5	[M + H]+	C19H19N5O5	0.4190954773869347	7.855531724106443	4.980998765351533	2.8745329587549104	3	0.242941600030318	-0.7843264900207692	0.7843264900207692	-1.3190159425685706		398.14537	155.17	336_clematis_10_species_crop2-10min_231127_orbi_siri_339	339
1	C19H29NO10	[M + H]+	C19H29NO10	0.9984924623115576	56.0967920589871	49.85926184929717	6.237530209689929	10	0.9390847041885516	3.4996024417723994	3.4996024417723994	1.5211466047837487		432.18708	152.47	338_clematis_10_species_crop2-10min_231127_orbi_siri_341	341
1	C26H34O12	[M + Na]+	C26H34O12	0.993969849246231	13.553607015071869	9.96054219782954	3.5930648172423285	7	0.6758796849671704	3.274998660863058	3.274998660863058	1.911583848469129		561.19532	155.42	340_clematis_10_species_crop2-10min_231127_orbi_siri_343	343
1	C26H34O12	[M + K]+	C26H34O12	0.7236180904522614	3.3609283081755246	3.3609283081755246	0.0	1	0.0	1.634480889011025	1.634480889011025	0.8929311471444759		577.16870	155.42	341_clematis_10_species_crop2-10min_231127_orbi_siri_344	344
