CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
3882	4386	7	0.8515	-18.010
3242	3243	8	0.8781	-1.003
3261	4249	8	0.9287	-56.063
4412	5040	8	0.861	46.042
4021	4531	8	0.8716	46.042
4249	5040	8	0.8619	-26.015
3243	4277	8	0.8782	-3.028
3257	4295	8	0.866	-70.078
4249	4277	8	0.9211	-14.016
4412	4531	8	0.8891	102.104
4033	4277	8	0.8605	-42.047
4021	4295	8	0.8719	-42.047
3257	4021	8	0.9741	-28.031
4021	4033	8	0.9048	44.026
4532	5040	8	0.8733	-56.061
3257	4412	8	0.9738	-84.094
4021	5040	8	0.8637	-10.021
4295	4412	8	0.9061	-14.016
3261	4033	8	0.9322	-28.031
4249	4412	8	0.8656	-72.057
4531	4532	8	0.9451	-0.002
3242	3244	8	0.8945	-2.016
3257	4531	8	0.892	18.011
3257	3261	8	0.8962	44.026
4033	4249	8	0.9579	-28.031
4021	4412	8	0.982	-56.062
4531	5040	8	0.9155	-56.063
5488	5659	9	0.7206	31.988
5259	5445	9	0.7162	48.021
5235	5544	9	0.7126	-6.045
5445	5548	9	0.7261	-2.015
5442	5698	9	0.8059	-4.030
5488	5607	9	0.7896	23.998
5123	5259	9	0.7618	-28.031
5233	5379	9	0.7475	-28.031
5442	5488	9	0.7854	-15.993
5544	5607	9	0.7271	-15.996
5123	5235	9	0.7961	32.026
5359	5548	9	0.7138	17.974
5339	5659	9	0.711	-8.228
5544	5698	9	0.8189	-28.031
5235	5442	9	0.7715	-30.046
5235	5698	9	0.7582	-34.076
5544	5781	9	0.7628	15.996
5359	5442	9	0.7996	1.979
5233	5544	9	0.7394	34.008
5359	5488	9	0.7554	-14.014
5379	5698	9	0.804	34.007
4073	4074	11	0.8831	-1.002
4072	4073	11	0.8853	-1.001
3959	3978	11	0.9229	-0.996
3978	4074	11	0.7087	1.042
3959	4074	11	0.9329	0.045
5595	5763	12	0.9736	162.053
5562	5588	12	0.9255	-26.018
5354	5710	12	0.9106	-30.054
5526	5578	12	0.9141	24.000
5653	5763	12	0.9074	132.041
5452	5588	12	0.9117	-28.029
5473	5763	12	0.9025	324.105
5513	5597	12	0.9164	-2.015
5474	5651	12	0.9616	162.053
5597	5706	12	0.9573	-2.014
5513	5526	12	0.9245	-179.078
5477	5710	12	0.8925	24.000
5409	5518	12	0.9368	-40.032
5284	5448	12	0.8807	-35.038
5518	5528	12	0.9042	162.056
5594	5706	12	0.909	179.072
5473	5518	12	0.9201	-26.016
5560	5710	12	0.9391	-54.046
5594	5705	12	0.9856	-0.008
5473	5510	12	0.924	162.062
5526	5595	12	0.9231	-2.017
5477	5562	12	0.8886	52.031
5526	5627	12	0.936	-28.032
5581	5706	12	0.943	-28.030
5474	5705	12	0.9286	-30.046
5354	5355	12	0.916	2.007
5439	5518	12	0.934	-2.015
5528	5627	12	0.9868	-0.003
5284	5395	12	0.906	28.030
5588	5594	12	0.92	162.062
5392	5473	12	0.9135	-2.016
5452	5470	12	0.9222	-28.019
5510	5526	12	0.9205	2.008
5595	5705	12	0.9557	-2.015
5651	5763	12	0.8952	-28.032
5562	5718	12	0.921	-2.016
5355	5474	12	0.9516	162.053
5560	5718	12	0.962	-28.031
5710	5718	12	0.9418	26.016
5414	5526	12	0.9271	-28.028
5354	5578	12	0.9033	162.045
5282	5372	12	0.9122	-0.001
5581	5597	12	0.9251	-26.016
5392	5409	12	0.8921	12.000
5471	5754	12	0.907	162.044
5518	5606	12	0.914	-2.016
5549	5627	12	0.9177	-2.016
5578	5627	12	0.9286	-52.031
5355	5588	12	0.9144	-30.048
5476	5651	12	0.8823	-17.026
5526	5549	12	0.9234	-26.016
5409	5470	12	0.9219	-16.023
5392	5439	12	0.931	-26.016
5474	5510	12	0.9261	-28.022
5476	5706	12	0.953	-30.045
5354	5452	12	0.9623	-0.011
5594	5627	12	0.9032	-24.008
5510	5597	12	0.9193	179.071
5627	5705	12	0.9032	24.000
5595	5627	12	0.9358	-26.015
5528	5549	12	0.9345	2.013
5454	5559	12	0.8961	-2.015
5354	5562	12	0.912	-2.023
5606	5710	12	0.9082	24.001
5477	5606	12	0.9621	-0.001
5474	5528	12	0.9491	-54.043
5471	5699	12	0.908	-2.024
5510	5763	12	0.9639	162.044
5372	5549	12	0.8829	-8.004
5409	5477	12	0.9042	-42.046
5578	5699	12	0.9357	-2.016
5510	5627	12	0.9328	-26.024
5409	5710	12	0.8867	-18.047
5718	5719	12	0.8913	341.132
5474	5526	12	0.9358	-26.015
5562	5699	12	0.9142	162.052
5510	5705	12	0.9469	-2.024
5354	5606	12	0.9241	-54.055
5470	5588	12	0.9833	-0.010
5355	5409	12	0.9333	-14.015
5452	5578	12	0.9183	162.056
5705	5706	12	0.9193	179.080
5284	5644	12	0.886	-28.031
5560	5562	12	0.9187	-26.015
5476	5644	12	0.8923	-54.046
5355	5518	12	0.9485	-54.047
5510	5528	12	0.9225	-26.021
5594	5595	12	0.9445	2.007
5354	5518	12	0.9269	-52.039
5528	5578	12	0.9226	52.028
5362	5414	12	0.8977	-26.018
5473	5597	12	0.9096	341.133
5236	5362	12	0.8947	162.053
5409	5588	12	0.919	-16.033
5699	5705	12	0.9471	-26.016
5562	5710	12	0.9465	-28.031
5470	5562	12	0.9327	26.007
5355	5473	12	0.9027	-28.031
5562	5606	12	0.9078	-52.032
5474	5578	12	0.9385	-2.015
5477	5588	12	0.9128	26.013
5454	5471	12	0.8808	-28.023
5452	5518	12	0.9306	-52.028
5510	5594	12	0.939	-2.016
5588	5705	12	0.9343	162.054
5526	5528	12	0.9502	-28.029
5470	5473	12	0.9356	2.006
5474	5476	12	0.9191	179.079
5355	5606	12	0.9222	-56.062
5476	5581	12	0.9373	-2.015
5474	5627	12	0.9542	-54.046
5588	5606	12	0.9368	-26.014
5476	5513	12	0.9081	-26.015
5392	5452	12	0.9019	23.997
5392	5513	12	0.9048	341.132
5474	5594	12	0.9298	-30.038
5409	5606	12	0.944	-42.047
5578	5705	12	0.9589	-28.031
5439	5549	12	0.883	162.054
5510	5595	12	0.9836	-0.009
5392	5518	12	0.9464	-28.031
5470	5606	12	0.9407	-26.025
5597	5763	12	0.8902	-17.027
5578	5595	12	0.9219	-26.016
5518	5627	12	0.907	162.053
5691	5706	12	0.903	-26.014
5559	5699	12	0.9324	-28.031
5284	5513	12	0.8918	-0.000
5452	5606	12	0.9248	-54.044
5528	5595	12	0.9269	26.012
5470	5705	12	0.9431	162.044
5473	5595	12	0.9437	162.053
5470	5718	12	0.9197	23.992
5355	5470	12	0.9257	-30.037
5354	5409	12	0.9346	-12.008
5452	5562	12	0.9107	-2.012
5392	5526	12	0.9325	162.054
5409	5452	12	0.9354	11.997
5355	5452	12	0.917	-2.018
5594	5699	12	0.9388	26.008
5595	5597	12	0.9331	179.080
5355	5392	12	0.9232	-26.015
5473	5588	12	0.9277	-2.017
5283	5284	12	0.899	162.053
5470	5594	12	0.9306	162.052
5597	5691	12	0.8828	23.999
5476	5597	12	0.9545	-28.030
3195	3199	13	0.8521	18.011
3278	3819	15	0.8764	162.053
3262	3278	15	0.9315	-179.080
3263	3278	15	0.9739	-17.026
3177	3263	15	0.813	-30.011
3263	3819	15	0.8733	145.027
3159	3177	15	0.8357	17.026
2416	3262	15	0.9186	341.133
3262	3263	15	0.9459	-162.053
3262	3819	15	0.8651	-17.026
2416	3263	15	0.9594	179.079
3159	3278	15	0.9258	-30.011
2416	3819	15	0.8664	324.106
2416	3278	15	0.9724	162.053
3411	3661	16	0.8137	-86.000
1637	1712	17	0.7836	2.016
1403	1637	17	0.7355	-44.027
1637	2959	17	0.7126	-176.048
1403	2052	17	0.9245	-14.016
1200	2052	17	0.8525	162.053
1494	2052	17	0.8123	-13.012
1403	1494	17	0.8414	-1.004
1024	1712	17	0.8006	162.053
1637	1838	17	0.9081	-196.074
3045	3366	20	0.8839	-47.037
2555	3323	20	0.7864	30.011
1934	2952	20	0.8121	178.047
1284	1906	20	0.8962	134.022
1872	1906	20	0.8748	-28.031
1284	1965	20	0.7693	197.090
1934	2460	20	0.8145	371.143
1934	2555	20	0.7704	341.132
2460	3323	20	0.9522	0.000
2379	2952	20	0.8018	178.048
1934	3323	20	0.7844	371.143
1752	3323	20	0.8665	0.000
1872	1965	20	0.8083	35.037
1872	1934	20	0.7653	-144.042
1752	2555	20	0.7742	-30.011
1906	2548	20	0.8	162.053
1872	2555	20	0.7857	197.090
2460	2555	20	0.8094	-30.011
2379	2460	20	0.7866	371.144
1752	2460	20	0.8729	0.000
2379	2555	20	0.7707	341.134
1284	1872	20	0.9302	162.053
1934	2379	20	0.9567	-0.001
2952	3045	20	0.8656	47.038
2952	3366	20	0.8944	0.001
4206	4207	25	0.8142	-18.010
3935	4206	25	0.8067	14.016
1013	1535	25	0.8424	-2.015
3932	4199	25	0.7808	197.090
1013	3935	25	0.7938	-14.052
3932	3935	25	0.7898	197.090
3865	3872	25	0.8094	104.011
3935	4199	25	0.8368	0.000
3872	3935	25	0.782	-2.016
2154	2174	26	0.8661	-18.010
2154	2185	26	0.8538	-162.053
4972	4976	26	0.9208	-17.027
1799	2168	26	0.969	-244.095
3783	3790	26	0.9354	-49.053
1287	1301	26	0.96	17.027
1289	2166	26	0.8866	18.010
1401	1402	26	0.849	-162.053
1799	3487	26	0.8645	19.063
2164	2205	26	0.9297	-405.163
2178	2185	26	0.9572	388.137
2873	3354	26	0.8477	-13.013
2164	2178	26	0.9093	-370.127
3614	3616	26	0.9218	-28.031
2178	4972	26	0.887	109.913
2872	2877	26	0.9579	406.147
2875	3185	26	0.8861	148.038
2338	3160	26	0.8712	-339.084
1287	2213	26	0.8971	-14.016
