CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
1643	1957	6	0.851	-26.016
316	683	6	0.8671	18.011
1549	1698	6	0.9782	15.995
1698	1957	6	0.9062	-14.016
683	1958	6	0.8543	15.995
858	1028	6	0.8644	-2.017
381	925	6	0.9044	4.033
777	1028	6	0.9411	162.050
380	641	6	0.8324	-144.043
1549	1957	6	0.8803	1.979
747	923	6	0.9362	15.995
892	895	6	0.8775	-279.183
641	769	6	0.9611	-14.014
1694	1760	6	0.9287	-14.017
1549	1643	6	0.9128	27.995
683	1959	6	0.9049	1.979
858	1959	6	0.9068	-14.016
316	380	6	0.9601	15.996
683	686	6	0.9246	-297.194
1028	1699	6	0.8679	-247.193
1695	1879	6	0.8834	32.026
641	1615	6	0.8831	180.064
860	1958	6	0.8316	281.197
777	1956	6	0.8485	180.062
924	1049	6	0.918	1.977
1760	1761	6	0.8502	-279.221
1698	1956	6	0.932	-0.000
683	797	6	0.8337	-15.994
892	1958	6	0.8279	-2.017
1757	1957	6	0.8297	279.223
884	895	6	0.8972	2.015
1755	1956	6	0.9334	14.016
1557	1694	6	0.9389	15.995
1549	1956	6	0.929	15.995
1523	2589	6	0.8375	-395.233
683	858	6	0.9768	15.995
474	769	6	0.8223	-144.041
316	474	6	0.9394	1.980
893	924	6	0.9602	-15.995
1028	1038	6	0.9128	14.016
1012	1013	6	0.8588	-0.174
316	324	6	0.8678	0.036
641	858	6	0.9267	162.053
747	1050	6	0.9712	1.977
282	377	6	0.956	16.002
1698	1699	6	0.9148	-265.205
1698	1755	6	0.9686	-14.016
381	643	6	0.8987	-144.042
1549	1550	6	0.9186	-281.200
923	1050	6	0.9449	-14.018
860	884	6	0.9315	2.016
1683	1695	6	0.9527	448.230
460	858	6	0.8837	-16.031
380	892	6	0.8432	20.027
641	892	6	0.83	164.070
1755	1757	6	0.9092	-279.223
1018	1959	6	0.8908	295.217
1643	1956	6	0.8772	-12.000
859	893	6	0.8732	2.016
1958	1959	6	0.8527	-14.016
925	1694	6	0.9068	29.973
1013	1018	6	0.8903	-295.216
443	1959	6	0.824	15.995
1584	1695	6	0.8603	30.011
892	1698	6	0.8256	13.979
381	1694	6	0.8718	34.006
380	1028	6	0.8357	15.994
769	1690	6	0.8607	180.062
2213	2320	7	0.9787	21.983
2256	2352	7	0.9758	-72.038
2213	2564	7	0.9822	45.969
2313	2564	7	0.9727	13.978
2202	2205	7	0.9867	-0.005
2213	2377	7	0.9865	50.001
2214	2277	7	0.9704	-0.007
2205	2277	7	0.9713	-28.024
2277	2443	7	0.9709	50.000
2205	2352	7	0.9716	50.007
2256	2277	7	0.9779	-150.070
2352	2443	7	0.9721	-28.031
2377	2443	7	0.9847	-2.017
2277	2377	7	0.9778	52.017
2277	2526	7	0.9747	47.985
2213	2443	7	0.9802	47.984
2256	2443	7	0.9724	-100.069
2277	2320	7	0.9695	23.999
2202	2377	7	0.973	23.988
2213	2352	7	0.9841	76.016
2202	2213	7	0.9825	-26.013
2526	2564	7	0.9948	0.000
2256	2377	7	0.9781	-98.052
2352	2377	7	0.9769	-26.014
2256	2320	7	0.9734	-126.071
2256	2526	7	0.9729	-102.085
2205	2377	7	0.9742	23.993
2205	2256	7	0.9751	122.045
2443	2564	7	0.9909	-2.015
2256	2313	7	0.975	-116.063
2320	2564	7	0.9723	23.987
2352	2526	7	0.9727	-30.047
2205	2526	7	0.9705	19.961
2277	2352	7	0.9727	78.032
2313	2377	7	0.9715	18.010
2377	2526	7	0.9863	-4.032
2205	2443	7	0.9691	21.976
2213	2526	7	0.9811	45.969
2320	2443	7	0.9681	26.001
2205	2213	7	0.9844	-26.008
2352	2564	7	0.9748	-30.046
2443	2526	7	0.9885	-2.015
2205	2320	7	0.9635	-4.026
2377	2564	7	0.9879	-4.032
2205	2564	7	0.9721	19.961
2313	2443	7	0.9678	15.993
2313	2526	7	0.9687	13.978
2256	2564	7	0.9754	-102.084
2213	2277	7	0.984	-2.016
2202	2352	7	0.9708	50.002
2213	2256	7	0.9904	148.054
2277	2564	7	0.9753	47.986
2320	2352	7	0.9666	54.033
2202	2526	7	0.9687	19.956
2202	2320	7	0.9608	-4.031
1429	1430	8	0.9443	-45.058
1604	1624	8	0.896	28.031
1669	1858	8	0.9629	-0.000
583	758	8	0.8489	2.016
1668	1855	8	0.8532	-0.000
1283	1284	8	0.8824	-162.053
1597	1624	8	0.9081	-35.037
1452	1632	8	0.8564	-26.016
1216	1452	8	0.839	18.011
1435	1442	8	0.8918	97.967
1855	1858	8	0.8213	36.021
1216	1442	8	0.8383	0.000
1507	1590	8	0.9034	215.101
1632	1652	8	0.8827	40.031
758	837	8	0.8227	-2.016
940	1471	8	0.8707	93.080
1585	1595	8	0.8831	103.027
1668	2534	8	0.8243	-305.273
1601	1624	8	0.8639	-197.090
1667	1672	8	0.9439	17.027
837	1715	8	0.895	-2.015
1507	1529	8	0.8352	-145.026
1192	1284	8	0.8594	132.043
940	1488	8	0.8415	76.053
1317	1430	8	0.8204	86.984
1667	1669	8	0.8425	215.101
1507	1585	8	0.8929	-86.000
1633	1723	8	0.8343	12.000
1594	1669	8	0.8412	24.036
1442	1858	8	0.8447	14.016
1498	1669	8	0.8438	40.031
1590	1597	8	0.8287	-180.063
1597	1601	8	0.8403	162.053
1411	1413	8	0.8316	-0.036
1633	1669	8	0.8537	40.031
837	1652	8	0.938	14.016
837	1452	8	0.9457	0.000
1595	1601	8	0.8381	180.063
837	1216	8	0.8446	-18.010
940	1192	8	0.8636	47.037
1021	1667	8	0.8837	14.016
1442	1708	8	0.8952	0.000
1463	1667	8	0.8213	-28.031
1594	1715	8	0.8751	26.016
1529	1597	8	0.8547	180.063
1440	1507	8	0.8243	132.042
583	837	8	0.9337	0.000
583	1632	8	0.8493	-26.015
1284	1488	8	0.8353	-103.027
1284	1471	8	0.8958	-86.000
1632	1715	8	0.823	24.000
1590	1624	8	0.8869	-215.101
837	1279	8	0.871	-2.015
837	1856	8	0.849	14.016
1595	1624	8	0.94	-17.027
1429	1442	8	0.8928	180.063
1279	1452	8	0.8217	2.015
1507	1601	8	0.8577	197.090
1529	1624	8	0.8766	145.026
1448	1667	8	0.9069	132.007
1632	1856	8	0.8314	40.031
1453	1667	8	0.9219	162.053
1528	1624	8	0.8615	127.015
1528	1595	8	0.8235	144.042
1279	1715	8	0.9362	-0.000
1652	1856	8	0.9096	0.000
837	1632	8	0.8959	-26.015
1429	1708	8	0.8261	180.063
1216	1723	8	0.879	-14.016
1021	1429	8	0.8863	35.038
1903	1904	8	0.8464	-18.011
1442	1633	8	0.8563	-26.016
1448	1453	8	0.8719	-30.047
1279	1594	8	0.874	-26.016
1453	1672	8	0.87	179.080
1279	1283	8	0.8218	-36.021
1507	1604	8	0.8981	-28.031
1594	1652	8	0.8719	42.047
1283	1471	8	0.8496	-248.053
1429	1535	8	0.954	-86.000
1498	1723	8	0.8813	12.000
837	1594	8	0.888	-28.031
1021	1430	8	0.895	-10.020
583	1279	8	0.8296	-2.015
1452	1652	8	0.9273	14.016
1442	1535	8	0.8498	-266.063
1283	1715	8	0.8363	36.021
758	1652	8	0.8284	12.000
1652	1715	8	0.8334	-16.031
583	1652	8	0.8987	14.016
583	1594	8	0.8582	-28.031
1590	1595	8	0.8885	-198.074
1668	1858	8	0.8727	36.021
1669	2534	8	0.8503	-341.294
1723	1858	8	0.8268	28.031
1595	1604	8	0.8984	-45.058
1442	1707	8	0.8273	2.016
1672	1858	8	0.856	198.074
1528	1529	8	0.9446	-18.010
583	1715	8	0.8336	-2.015
1507	1624	8	0.9507	-0.000
1668	1672	8	0.8984	-162.053
1452	1856	8	0.8535	14.016
1498	1858	8	0.8277	40.031
1585	1624	8	0.8971	86.000
1594	1632	8	0.8726	2.016
1507	1595	8	0.9472	17.027
1448	1672	8	0.8814	149.033
1595	1597	8	0.8279	18.010
1452	1715	8	0.8411	-2.016
1529	1585	8	0.8234	59.025
1430	1535	8	0.9299	-40.942
1668	1669	8	0.9084	36.021
1528	1597	8	0.8589	162.053
1442	1669	8	0.8832	14.016
1507	1597	8	0.8733	35.037
1858	2534	8	0.842	-341.294
1413	1559	8	0.8391	-86.001
583	1216	8	0.8265	-18.010
1192	1471	8	0.8431	46.043
1498	1633	8	0.8788	-0.000
1440	1585	8	0.8379	46.042
1672	1855	8	0.8234	162.052
1669	1672	8	0.8861	-198.074
1585	1604	8	0.8605	57.969
1452	1594	8	0.8629	-28.031
758	1452	8	0.834	-2.015
1429	1435	8	0.8463	82.097
1216	1669	8	0.8435	14.016
1585	1590	8	0.8649	301.101
1667	1668	8	0.848	179.079
758	1353	8	0.8388	40.031
940	1283	8	0.8253	341.133
1507	1528	8	0.8233	-127.016
1442	1590	8	0.8514	-28.031
1529	1595	8	0.8371	162.052
1488	1559	8	0.8261	2.015
1440	1624	8	0.827	132.042
940	1284	8	0.9147	179.080
583	1452	8	0.9371	0.000
1021	1535	8	0.8691	-50.962
1471	1488	8	0.8821	-17.027
1633	1903	8	0.8399	-38.016
2445	2515	9	0.9309	-26.023
1975	2112	9	0.8814	341.132
2312	2373	9	0.8721	-128.048
2447	2497	9	0.9288	-2.016
1945	2041	9	0.853	-30.047
2449	2500	9	0.917	-2.016
2373	2449	9	0.9073	341.132
1984	1986	9	0.8625	-324.105
2375	2521	9	0.8418	-56.061
2447	2468	9	0.9182	-26.016
2500	2559	9	0.948	-2.015
2544	2558	9	0.9336	-26.016
1943	1947	9	0.9276	179.080
2431	2492	9	0.9265	-30.037
2382	2506	9	0.9429	-42.047
1984	2113	9	0.8296	-17.027
1986	2027	9	0.8949	145.026
2445	2484	9	0.9055	26.009
2448	2508	9	0.9123	-0.006
2375	2500	9	0.8741	-30.045
2527	2591	9	0.9014	132.041
2070	2499	9	0.87	-24.000
2431	2515	9	0.9499	-54.046
2425	2506	9	0.9352	-26.025
2445	2492	9	0.9353	-2.014
2317	2486	9	0.8369	24.000
2022	2112	9	0.9378	-0.001
2317	2375	9	0.8751	28.029
2492	2515	9	0.8991	-24.009
2316	2362	9	0.9001	-0.001
1789	1943	9	0.8706	75.979
2022	2027	9	0.9551	-179.080
2484	2497	9	0.9173	-26.016
2432	2546	9	0.8666	-4.031
2445	2591	9	0.9584	162.045
2355	2373	9	0.9106	-26.015
